Index,alpha1,alpha2,result,how,sutraNum,sutraEnglish,scVasu
16,अ,क्,अक्,वर्णमेलन,,,
17,अ,ख्,अख्,वर्णमेलन,,,
18,अ,ग्,अग्,वर्णमेलन,,,
19,अ,घ्,अघ्,वर्णमेलन,,,
20,अ,ङ्,अङ्,वर्णमेलन,,,
21,अ,च्,अच्,वर्णमेलन,,,
22,अ,छ्,अच्छ्,तुगागम -> जश्त्व-> श्चुत्व-> चर्त्व,6.1.73; 8.2.39; 8.4.40; 8.4.55,,
23,अ,ज्,अज्,वर्णमेलन,,,
24,अ,झ्,अझ्,वर्णमेलन,,,
25,अ,ञ्,अञ्,वर्णमेलन,,,
26,अ,ट्,अट्,वर्णमेलन,,,
27,अ,ठ्,अठ्,वर्णमेलन,,,
28,अ,ड्,अड्,वर्णमेलन,,,
29,अ,ढ्,अढ्,वर्णमेलन,,,
30,अ,ण्,अण्,वर्णमेलन,,,
31,अ,त्,अत्,वर्णमेलन,,,
32,अ,थ्,अथ्,वर्णमेलन,,,
33,अ,द्,अद्,वर्णमेलन,,,
34,अ,ध्,अध्,वर्णमेलन,,,
35,अ,न्,अन्,वर्णमेलन,,,
36,अ,प्,अप्,वर्णमेलन,,,
37,अ,फ्,अफ्,वर्णमेलन,,,
38,अ,ब्,अब्,वर्णमेलन,,,
39,अ,भ्,अभ्,वर्णमेलन,,,
40,अ,म्,अम्,वर्णमेलन,,,
41,अ,य्,अय्,वर्णमेलन,,,
42,अ,र्,अर्,वर्णमेलन,,,
43,अ,ल्,अल्,वर्णमेलन,,,
44,अ,व्,अव्,वर्णमेलन,,,
45,अ,श्,अश्,वर्णमेलन,,,
46,अ,ष्,अष्,वर्णमेलन,,,
47,अ,स्,अस्,वर्णमेलन,,,
48,अ,ह्,अह्,वर्णमेलन,,,
49,आ,अ,आ,सवर्णदीर्घ,6.1.101,"""In this अधिकार the doubling happens for the first एकाच् entity of the verb"",","""In the room of the first portion, containing a single vowel, there are two."","
50,आ,आ,आ,सवर्णदीर्घ,6.1.101,"""In this अधिकार the doubling happens for the first एकाच् entity of the verb"",","""In the room of the first portion, containing a single vowel, there are two."","
51,आ,इ,ए,गुण,6.1.87,"""The गुण is the single substitute of the final अ or आ of a preceding word and the simple vowel of the succeeding (अ or आ + a vowel = गुण)।""","""The गुण is the single substitute of the final अ or आ of a preceding word and the simple vowel of the succeeding (अ or आ + a vowel = गुण)।"",
    "
52,आ,ई,ए,गुण,6.1.87,"""The गुण is the single substitute of the final अ or आ of a preceding word and the simple vowel of the succeeding (अ or आ + a vowel = गुण)।""","""The गुण is the single substitute of the final अ or आ of a preceding word and the simple vowel of the succeeding (अ or आ + a vowel = गुण)।"",
    "
53,आ,उ,ओ,गुण,6.1.87,"""The गुण is the single substitute of the final अ or आ of a preceding word and the simple vowel of the succeeding (अ or आ + a vowel = गुण)।""","""The गुण is the single substitute of the final अ or आ of a preceding word and the simple vowel of the succeeding (अ or आ + a vowel = गुण)।"",
    "
54,आ,ऊ,ओ,गुण,6.1.87,"""The गुण is the single substitute of the final अ or आ of a preceding word and the simple vowel of the succeeding (अ or आ + a vowel = गुण)।""","""The गुण is the single substitute of the final अ or आ of a preceding word and the simple vowel of the succeeding (अ or आ + a vowel = गुण)।"",
    "
55,आ,ऋ,अर्,गुण,6.1.87,"""The गुण is the single substitute of the final अ or आ of a preceding word and the simple vowel of the succeeding (अ or आ + a vowel = गुण)।""","""The गुण is the single substitute of the final अ or आ of a preceding word and the simple vowel of the succeeding (अ or आ + a vowel = गुण)।"",
    "
56,आ,ऋ,अ ऋ,प्रकृतिभाव,6.1.128,,"""According to the opinion of शाकल्य , the simple vowel followed by ऋ retains its original form, and if the vowel is long, it is shortened."","
57,आ,़,अर्,गुण,6.1.87,"""The गुण is the single substitute of the final अ or आ of a preceding word and the simple vowel of the succeeding (अ or आ + a vowel = गुण)।""","""The गुण is the single substitute of the final अ or आ of a preceding word and the simple vowel of the succeeding (अ or आ + a vowel = गुण)।"",
    "
58,आ,ऌ,अल्,गुण,6.1.87,"""The गुण is the single substitute of the final अ or आ of a preceding word and the simple vowel of the succeeding (अ or आ + a vowel = गुण)।""","""The गुण is the single substitute of the final अ or आ of a preceding word and the simple vowel of the succeeding (अ or आ + a vowel = गुण)।"",
   "
59,आ,ऌ,आ ऌ,प्रकृतिभाव,6.1.128,,"""According to the opinion of शाकल्य , the simple vowel followed by ऋ retains its original form, and if the vowel is long, it is shortened."","
60,आ,ए,ऐ,वृद्धि,6.1.88,"When an अवर्ण is followed by an एच् letter in the context of संहिता, both of them are replaced by a single वृद्धि letter. ,","""The वृद्धि is the single substitute of अ or आ of a preceding word and the initial diphthong of the succeeding (अ or आ + diphthong = वृद्धि)।"",
    "
61,आ,ऐ,ऐ,वृद्धि,6.1.88,"When an अवर्ण is followed by an एच् letter in the context of संहिता, both of them are replaced by a single वृद्धि letter. ,","The वृद्धि is the single substitute of अ or आ of a preceding word and the initial diphthong of the succeeding (अ or आ + diphthong = वृद्धि)।,"
62,आ,ओ,औ,वृद्धि,6.1.88,"When an अवर्ण is followed by an एच् letter in the context of संहिता, both of them are replaced by a single वृद्धि letter. ,","""The वृद्धि is the single substitute of अ or आ of a preceding word and the initial diphthong of the succeeding (अ or आ + diphthong = वृद्धि)।"",
    "
63,आ,औ,औ,वृद्धि,6.1.88,"""When an अवर्ण is followed by an एच् letter in the context of संहिता, both of them are replaced by a single वृद्धि letter. "",
    ","The वृद्धि is the single substitute of अ or आ of a preceding word and the initial diphthong of the succeeding (अ or आ + diphthong = वृद्धि)।,"
64,आ,क्,आक्,वर्णमेलन,,,
65,आ,ख्,आख्,वर्णमेलन,,,
66,आ,ग्,आग्,वर्णमेलन,,,
67,आ,घ्,आघ्,वर्णमेलन,,,
68,आ,ङ्,आङ्,वर्णमेलन,,,
69,आ,च्,आच्,वर्णमेलन,,,
70,आ,छ्,आछ्,पक्षे तुगभावः,,,
71,आ,छ्,आच्छ्,तुगागम -> श्चुत्व,6.1.76; 8.4.40,"""61076"": ""A दीर्घ स्वर at end of a पद gets optional तुक्-आगमः when followed by a छकार,  in the context of संहिता. "",  ""84040"": ""In the context of संहिता, A सकार and a तवर्ग letter are converted (respectively) to a  शकार and चवर्ग letter when associated with a शकार or a चवर्ग letter."",
    ""84041"": ",
72,आ,ज्,आज्,वर्णमेलन,,,
73,आ,झ्,आझ्,वर्णमेलन,,,
74,आ,ञ्,आञ्,वर्णमेलन,,,
75,आ,ट्,आट्,वर्णमेलन,,,
76,आ,ठ्,आठ्,वर्णमेलन,,,
77,आ,ड्,आड्,वर्णमेलन,,,
78,आ,ढ्,आढ्,वर्णमेलन,,,
79,आ,ण्,आण्,वर्णमेलन,,,
80,आ,त्,आत्,वर्णमेलन,,,
81,आ,थ्,आथ्,वर्णमेलन,,,
82,आ,द्,आद्,वर्णमेलन,,,
83,आ,ध्,आध्,वर्णमेलन,,,
84,आ,न्,आन्,वर्णमेलन,,,
85,आ,प्,आप्,वर्णमेलन,,,
86,आ,फ्,आफ्,वर्णमेलन,,,
87,आ,ब्,आब्,वर्णमेलन,,,
88,आ,भ्,आभ्,वर्णमेलन,,,
89,आ,म्,आम्,वर्णमेलन,,,
90,आ,य्,आय्,वर्णमेलन,,,
91,आ,र्,आर्,वर्णमेलन,,,
92,आ,ल्,आल्,वर्णमेलन,,,
93,आ,व्,आव्,वर्णमेलन,,,
94,आ,श्,आश्,वर्णमेलन,,,
95,आ,ष्,आष्,वर्णमेलन,,,
96,आ,स्,आस्,वर्णमेलन,,,
97,आ,ह्,आह्,वर्णमेलन,,,
98,इ,अ,य,यण्,6.1.77,"""An इक् letter which is followed by a स्वर is converted to a corresponding यण् letter in the context of संहिता. "",","""The semi-vowels य् व् र् ल् are the substitutes of the corresponding vowels इ उ ऋ and ऌ (long and short), when followed by a vowel."","
99,इ,आ,या,यण्,6.1.77,"""An इक् letter which is followed by a स्वर is converted to a corresponding यण् letter in the context of संहिता. "",","""The semi-vowels य् व् र् ल् are the substitutes of the corresponding vowels इ उ ऋ and ऌ (long and short), when followed by a vowel."","
100,इ,इ,ई,सवर्णदीर्घ,6.1.101,"""In this अधिकार the doubling happens for the first एकाच् entity of the verb"",","""In the room of the first portion, containing a single vowel, there are two."","
101,इ,ई,ई,सवर्णदीर्घ,6.1.101,"""In this अधिकार the doubling happens for the first एकाच् entity of the verb"",","""In the room of the first portion, containing a single vowel, there are two."","
102,इ,उ,यु,यण्,6.1.77,"""An इक् letter which is followed by a स्वर is converted to a corresponding यण् letter in the context of संहिता. "",","""The semi-vowels य् व् र् ल् are the substitutes of the corresponding vowels इ उ ऋ and ऌ (long and short), when followed by a vowel."","
103,इ,ऊ,यू,यण्,6.1.77,"""An इक् letter which is followed by a स्वर is converted to a corresponding यण् letter in the context of संहिता. "",","""The semi-vowels य् व् र् ल् are the substitutes of the corresponding vowels इ उ ऋ and ऌ (long and short), when followed by a vowel."","
104,इ,ऋ,यृ,यण्,6.1.77,"""An इक् letter which is followed by a स्वर is converted to a corresponding यण् letter in the context of संहिता. "",","""The semi-vowels य् व् र् ल् are the substitutes of the corresponding vowels इ उ ऋ and ऌ (long and short), when followed by a vowel."","
105,इ,ऋ,इ ऋ,प्रकृतिभाव,6.1.128,,"""According to the opinion of शाकल्य , the simple vowel followed by ऋ retains its original form, and if the vowel is long, it is shortened."","
106,इ,़,य़्,यण्,6.1.77,"""An इक् letter which is followed by a स्वर is converted to a corresponding यण् letter in the context of संहिता. "",","""The semi-vowels य् व् र् ल् are the substitutes of the corresponding vowels इ उ ऋ and ऌ (long and short), when followed by a vowel."","
107,इ,ऌ,यॢ,यण्,6.1.77,"""An इक् letter which is followed by a स्वर is converted to a corresponding यण् letter in the context of संहिता. "",","""The semi-vowels य् व् र् ल् are the substitutes of the corresponding vowels इ उ ऋ and ऌ (long and short), when followed by a vowel."","
108,इ,ऌ,इ ऌ,प्रकृतिभाव,6.1.128,,"""According to the opinion of शाकल्य , the simple vowel followed by ऋ retains its original form, and if the vowel is long, it is shortened."","
109,इ,ए,ये,यण्,6.1.77,"""An इक् letter which is followed by a स्वर is converted to a corresponding यण् letter in the context of संहिता. "",","""The semi-vowels य् व् र् ल् are the substitutes of the corresponding vowels इ उ ऋ and ऌ (long and short), when followed by a vowel."","
110,इ,ऐ,यै,यण्,6.1.77,"""An इक् letter which is followed by a स्वर is converted to a corresponding यण् letter in the context of संहिता. "",","""The semi-vowels य् व् र् ल् are the substitutes of the corresponding vowels इ उ ऋ and ऌ (long and short), when followed by a vowel."","
111,इ,ओ,यो,यण्,6.1.77,"""An इक् letter which is followed by a स्वर is converted to a corresponding यण् letter in the context of संहिता. "",","""The semi-vowels य् व् र् ल् are the substitutes of the corresponding vowels इ उ ऋ and ऌ (long and short), when followed by a vowel."","
112,इ,औ,यौ,यण्,6.1.77,"""An इक् letter which is followed by a स्वर is converted to a corresponding यण् letter in the context of संहिता. "",","""The semi-vowels य् व् र् ल् are the substitutes of the corresponding vowels इ उ ऋ and ऌ (long and short), when followed by a vowel."","
113,इ,क्,इक्,वर्णमेलन,,,
114,इ,ख्,इख्,वर्णमेलन,,,
115,इ,ग्,इग्,वर्णमेलन,,,
116,इ,घ्,इघ्,वर्णमेलन,,,
117,इ,ङ्,इङ्,वर्णमेलन,,,
118,इ,च्,इच्,वर्णमेलन,,,
119,इ,छ्,इच्छ्,तुगागम -> जश्त्व-> श्चुत्व-> चर्त्व,6.1.73; 8.2.39; 8.4.40; 8.4.55,,
120,इ,ज्,इज्,वर्णमेलन,,,
121,इ,झ्,इझ्,वर्णमेलन,,,
122,इ,ञ्,इञ्,वर्णमेलन,,,
123,इ,ट्,इट्,वर्णमेलन,,,
124,इ,ठ्,इठ्,वर्णमेलन,,,
125,इ,ड्,इड्,वर्णमेलन,,,
126,इ,ढ्,इढ्,वर्णमेलन,,,
127,इ,ण्,इण्,वर्णमेलन,,,
128,इ,त्,इत्,वर्णमेलन,,,
129,इ,थ्,इथ्,वर्णमेलन,,,
130,इ,द्,इद्,वर्णमेलन,,,
131,इ,ध्,इध्,वर्णमेलन,,,
132,इ,न्,इन्,वर्णमेलन,,,
133,इ,प्,इप्,वर्णमेलन,,,
134,इ,फ्,इफ्,वर्णमेलन,,,
135,इ,ब्,इब्,वर्णमेलन,,,
136,इ,भ्,इभ्,वर्णमेलन,,,
137,इ,म्,इम्,वर्णमेलन,,,
138,इ,य्,इय्,वर्णमेलन,,,
139,इ,र्,इर्,वर्णमेलन,,,
140,इ,ल्,इल्,वर्णमेलन,,,
141,इ,व्,इव्,वर्णमेलन,,,
142,इ,श्,इश्,वर्णमेलन,,,
143,इ,ष्,इष्,वर्णमेलन,,,
144,इ,स्,इस्,वर्णमेलन,,,
145,इ,ह्,इह्,वर्णमेलन,,,
146,ई,अ,य,यण्,6.1.77,"""An इक् letter which is followed by a स्वर is converted to a corresponding यण् letter in the context of संहिता. "",
    ","""After an oxytoned stem which ends in a light vowel, the genitive ending नाम् has optionally the acute accent."",
    "
147,ई,अ,इ अ,प्रकृतिभाव,6.1.127,,"According to शाकल्य, In the context of संहिता a पदान्त-इक्-letter, when followed by an असवर्ण अच्-letter undergoes ह्रस्वादेशः and then no other sandhi happens.\n\n,"
148,ई,आ,या,यण्,6.1.77,"An इक् letter which is followed by a स्वर is converted to a corresponding यण् letter in the context of संहिता. ,",
149,ई,आ,इ आ,प्रकृतिभाव,6.1.127,,"According to शाकल्य, In the context of संहिता a पदान्त-इक्-letter, when followed by an असवर्ण अच्-letter undergoes ह्रस्वादेशः and then no other sandhi happens.\n\n,"
150,ई,इ,ई,सवर्णदीर्घ,6.1.101,,
151,ई,ई,ई,सवर्णदीर्घ,6.1.101,,
152,ई,उ,यु,यण्,6.1.77,"An इक् letter which is followed by a स्वर is converted to a corresponding यण् letter in the context of संहिता. ,","After an oxytoned stem which ends in a light vowel, the genitive ending नाम् has optionally the acute accent.,"
153,ई,उ,इ उ,प्रकृतिभाव,6.1.127,,"""According to शाकल्य, In the context of संहिता a पदान्त-इक्-letter, when followed by an असवर्ण अच्-letter undergoes ह्रस्वादेशः and then no other sandhi happens.\n\n"",
    "
154,ई,ऊ,यू,यण्,6.1.77,"An इक् letter which is followed by a स्वर is converted to a corresponding यण् letter in the context of संहिता. ,","After an oxytoned stem which ends in a light vowel, the genitive ending नाम् has optionally the acute accent.,"
155,ई,ऊ,इ ऊ,प्रकृतिभाव,6.1.127,,"According to शाकल्य, In the context of संहिता a पदान्त-इक्-letter, when followed by an असवर्ण अच्-letter undergoes ह्रस्वादेशः and then no other sandhi happens.\n\n,"
156,ई,ऋ,यृ,यण्,6.1.77,"An इक् letter which is followed by a स्वर is converted to a corresponding यण् letter in the context of संहिता. ,",
157,ई,ऋ,इ ऋ,प्रकृतिभाव,6.1.128,,
158,ई,़,य़्,यण्,6.1.77,"An इक् letter which is followed by a स्वर is converted to a corresponding यण् letter in the context of संहिता. ,","""After an oxytoned stem which ends in a light vowel, the genitive ending नाम् has optionally the acute accent."",
    "
159,ई,़,इ ़,प्रकृतिभाव,6.1.127,,"""According to शाकल्य, In the context of संहिता a पदान्त-इक्-letter, when followed by an असवर्ण अच्-letter undergoes ह्रस्वादेशः and then no other sandhi happens.\n\n"",
    "
160,ई,ऌ,यॢ,यण्,6.1.77,"An इक् letter which is followed by a स्वर is converted to a corresponding यण् letter in the context of संहिता. ,","After an oxytoned stem which ends in a light vowel, the genitive ending नाम् has optionally the acute accent.,"
161,ई,ऌ,इ ऌ,प्रकृतिभाव,6.1.128,,
162,ई,ए,ये,यण्,6.1.77,"An इक् letter which is followed by a स्वर is converted to a corresponding यण् letter in the context of संहिता. ,","After an oxytoned stem which ends in a light vowel, the genitive ending नाम् has optionally the acute accent.,"
163,ई,ए,इ ए,प्रकृतिभाव,6.1.127,,"According to शाकल्य, In the context of संहिता a पदान्त-इक्-letter, when followed by an असवर्ण अच्-letter undergoes ह्रस्वादेशः and then no other sandhi happens.\n\n,"
164,ई,ऐ,यै,यण्,6.1.77,"An इक् letter which is followed by a स्वर is converted to a corresponding यण् letter in the context of संहिता. ,",
165,ई,ऐ,इ ऐ,प्रकृतिभाव,6.1.127,,"According to शाकल्य, In the context of संहिता a पदान्त-इक्-letter, when followed by an असवर्ण अच्-letter undergoes ह्रस्वादेशः and then no other sandhi happens.\n\n,"
166,ई,ओ,यो,यण्,6.1.77,"An इक् letter which is followed by a स्वर is converted to a corresponding यण् letter in the context of संहिता. ,",
167,ई,ओ,इ ओ,प्रकृतिभाव,6.1.127,,"According to शाकल्य, In the context of संहिता a पदान्त-इक्-letter, when followed by an असवर्ण अच्-letter undergoes ह्रस्वादेशः and then no other sandhi happens.\n\n,"
168,ई,औ,यौ,यण्,6.1.77,,
169,ई,औ,इ औ,प्रकृतिभाव,6.1.127,,"According to शाकल्य, In the context of संहिता a पदान्त-इक्-letter, when followed by an असवर्ण अच्-letter undergoes ह्रस्वादेशः and then no other sandhi happens.\n\n,"
170,ई,क्,ईक्,वर्णमेलन,,,
171,ई,ख्,ईख्,वर्णमेलन,,,
172,ई,ग्,ईग्,वर्णमेलन,,,
173,ई,घ्,ईघ्,वर्णमेलन,,,
174,ई,ङ्,ईङ्,वर्णमेलन,,,
175,ई,च्,ईच्,वर्णमेलन,,,
176,ई,छ्,ईच्छ्,तुगागम -> श्चुत्व,6.1.76; 8.4.40,,
177,ई,छ्,ईछ्,पक्षे तुगभावः,,,
178,ई,ज्,ईज्,वर्णमेलन,,,
179,ई,झ्,ईझ्,वर्णमेलन,,,
180,ई,ञ्,ईञ्,वर्णमेलन,,,
181,ई,ट्,ईट्,वर्णमेलन,,,
182,ई,ठ्,ईठ्,वर्णमेलन,,,
183,ई,ड्,ईड्,वर्णमेलन,,,
184,ई,ढ्,ईढ्,वर्णमेलन,,,
185,ई,ण्,ईण्,वर्णमेलन,,,
186,ई,त्,ईत्,वर्णमेलन,,,
187,ई,थ्,ईथ्,वर्णमेलन,,,
188,ई,द्,ईद्,वर्णमेलन,,,
189,ई,ध्,ईध्,वर्णमेलन,,,
190,ई,न्,ईन्,वर्णमेलन,,,
191,ई,प्,ईप्,वर्णमेलन,,,
192,ई,फ्,ईफ्,वर्णमेलन,,,
193,ई,ब्,ईब्,वर्णमेलन,,,
194,ई,भ्,ईभ्,वर्णमेलन,,,
195,ई,म्,ईम्,वर्णमेलन,,,
196,ई,य्,ईय्,वर्णमेलन,,,
197,ई,र्,ईर्,वर्णमेलन,,,
198,ई,ल्,ईल्,वर्णमेलन,,,
199,ई,व्,ईव्,वर्णमेलन,,,
200,ई,श्,ईश्,वर्णमेलन,,,
201,ई,ष्,ईष्,वर्णमेलन,,,
202,ई,स्,ईस्,वर्णमेलन,,,
203,ई,ह्,ईह्,वर्णमेलन,,,
204,उ,अ,व,यण्,6.1.77,"An इक् letter which is followed by a स्वर is converted to a corresponding यण् letter in the context of संहिता. ,","After an oxytoned stem which ends in a light vowel, the genitive ending नाम् has optionally the acute accent.,"
205,उ,आ,वा,यण्,6.1.77,"An इक् letter which is followed by a स्वर is converted to a corresponding यण् letter in the context of संहिता. ,","""After an oxytoned stem which ends in a light vowel, the genitive ending नाम् has optionally the acute accent."",
    """
206,उ,इ,वि,यण्,6.1.77,"An इक् letter which is followed by a स्वर is converted to a corresponding यण् letter in the context of संहिता. ,","After an oxytoned stem which ends in a light vowel, the genitive ending नाम् has optionally the acute accent.,"
207,उ,ई,वी,यण्,6.1.77,"""An इक् letter which is followed by a स्वर is converted to a corresponding यण् letter in the context of संहिता. "",
 ","After an oxytoned stem which ends in a light vowel, the genitive ending नाम् has optionally the acute accent.,"
208,उ,उ,ऊ,सवर्णदीर्घ,6.1.101,,
209,उ,ऊ,ऊ,सवर्णदीर्घ,6.1.101,,
210,उ,ऋ,वृ,यण्,6.1.77,"An इक् letter which is followed by a स्वर is converted to a corresponding यण् letter in the context of संहिता. ,","After an oxytoned stem which ends in a light vowel, the genitive ending नाम् has optionally the acute accent.,"
211,उ,ऋ,उ ऋ,प्रकृतिभाव,6.1.128,,
212,उ,़,व़्,यण्,6.1.77,"An इक् letter which is followed by a स्वर is converted to a corresponding यण् letter in the context of संहिता. ,","After an oxytoned stem which ends in a light vowel, the genitive ending नाम् has optionally the acute accent.,"
213,उ,ऌ,वॢ,यण्,6.1.77,"An इक् letter which is followed by a स्वर is converted to a corresponding यण् letter in the context of संहिता. ,","After an oxytoned stem which ends in a light vowel, the genitive ending नाम् has optionally the acute accent.,"
214,उ,ऌ,उ ऌ,प्रकृतिभाव,6.1.128,,
215,उ,ए,वे,यण्,6.1.77,"An इक् letter which is followed by a स्वर is converted to a corresponding यण् letter in the context of संहिता. ,","After an oxytoned stem which ends in a light vowel, the genitive ending नाम् has optionally the acute accent.,"
216,उ,ऐ,वै,यण्,6.1.77,"An इक् letter which is followed by a स्वर is converted to a corresponding यण् letter in the context of संहिता. ,","After an oxytoned stem which ends in a light vowel, the genitive ending नाम् has optionally the acute accent.,"
217,उ,ओ,वो,यण्,6.1.77,"An इक् letter which is followed by a स्वर is converted to a corresponding यण् letter in the context of संहिता. ,","After an oxytoned stem which ends in a light vowel, the genitive ending नाम् has optionally the acute accent.,"
218,उ,औ,वौ,यण्,6.1.77,"An इक् letter which is followed by a स्वर is converted to a corresponding यण् letter in the context of संहिता. ,","After an oxytoned stem which ends in a light vowel, the genitive ending नाम् has optionally the acute accent.,"
219,उ,क्,उक्,वर्णमेलन,,,
220,उ,ख्,उख्,वर्णमेलन,,,
221,उ,ग्,उग्,वर्णमेलन,,,
222,उ,घ्,उघ्,वर्णमेलन,,,
223,उ,ङ्,उङ्,वर्णमेलन,,,
224,उ,च्,उच्,वर्णमेलन,,,
225,उ,छ्,उच्छ्,तुगागम -> जश्त्व-> श्चुत्व-> चर्त्व,6.1.73; 8.2.39; 8.4.40; 8.4.55,,
226,उ,ज्,उज्,वर्णमेलन,,,
227,उ,झ्,उझ्,वर्णमेलन,,,
228,उ,ञ्,उञ्,वर्णमेलन,,,
229,उ,ट्,उट्,वर्णमेलन,,,
230,उ,ठ्,उठ्,वर्णमेलन,,,
231,उ,ड्,उड्,वर्णमेलन,,,
232,उ,ढ्,उढ्,वर्णमेलन,,,
233,उ,ण्,उण्,वर्णमेलन,,,
234,उ,त्,उत्,वर्णमेलन,,,
235,उ,थ्,उथ्,वर्णमेलन,,,
236,उ,द्,उद्,वर्णमेलन,,,
237,उ,ध्,उध्,वर्णमेलन,,,
238,उ,न्,उन्,वर्णमेलन,,,
239,उ,प्,उप्,वर्णमेलन,,,
240,उ,फ्,उफ्,वर्णमेलन,,,
241,उ,ब्,उब्,वर्णमेलन,,,
242,उ,भ्,उभ्,वर्णमेलन,,,
243,उ,म्,उम्,वर्णमेलन,,,
244,उ,य्,उय्,वर्णमेलन,,,
245,उ,र्,उर्,वर्णमेलन,,,
246,उ,ल्,उल्,वर्णमेलन,,,
247,उ,व्,उव्,वर्णमेलन,,,
248,उ,श्,उश्,वर्णमेलन,,,
249,उ,ष्,उष्,वर्णमेलन,,,
250,उ,स्,उस्,वर्णमेलन,,,
251,उ,ह्,उह्,वर्णमेलन,,,
252,ऊ,अ,व,यण्,6.1.77,"An इक् letter which is followed by a स्वर is converted to a corresponding यण् letter in the context of संहिता. ,","After an oxytoned stem which ends in a light vowel, the genitive ending नाम् has optionally the acute accent.,"
253,ऊ,अ,उ अ,प्रकृतिभाव,6.1.127,,"""According to शाकल्य, In the context of संहिता a पदान्त-इक्-letter, when followed by an असवर्ण अच्-letter undergoes ह्रस्वादेशः and then no other sandhi happens.\n\n"",
    "
254,ऊ,आ,वा,यण्,6.1.77,"An इक् letter which is followed by a स्वर is converted to a corresponding यण् letter in the context of संहिता. ,","After an oxytoned stem which ends in a light vowel, the genitive ending नाम् has optionally the acute accent.,"
255,ऊ,आ,उ आ,प्रकृतिभाव,6.1.127,,"According to शाकल्य, In the context of संहिता a पदान्त-इक्-letter, when followed by an असवर्ण अच्-letter undergoes ह्रस्वादेशः and then no other sandhi happens.\n\n,"
